,ranking,title,poster_url
0,1,The_Wizard_of_Oz_(1939_film),https://en.wikipedia.org/wiki/The_Wizard_of_Oz_(1939_film)#/media/File:Wizard_of_oz_movie_poster.jpg
1,1,The_Wizard_of_Oz_(1939_film),https://en.wikipedia.org/wiki/The_Wizard_of_Oz_(1939_film)#/media/File:Wizard_of_oz_movie_poster.jpg
2,1,The_Wizard_of_Oz_(1939_film),https://en.wikipedia.org/wiki/The_Wizard_of_Oz_(1939_film)#/media/File:Wizard_of_oz_movie_poster.jpg
3,4,Get_Out_(film),https://upload.wikimedia.org/wikipedia/en/a/a3/Get_Out_poster.png
4,5,Mad_Max:_Fury_Road,https://upload.wikimedia.org/wikipedia/en/6/6e/Mad_Max_Fury_Road.jpg
5,8,Inside_Out_(2015_film),https://upload.wikimedia.org/wikipedia/en/0/0a/Inside_Out_%282015_film%29_poster.jpg
6,9,The_Godfather,https://upload.wikimedia.org/wikipedia/en/1/1c/Godfather_ver1.jpg
7,11,E.T._the_Extra-Terrestrial,https://upload.wikimedia.org/wikipedia/en/6/66/E_t_the_extra_terrestrial_ver3.jpg
8,13,It_Happened_One_Night,https://upload.wikimedia.org/wikipedia/commons/d/dc/It-happened-one-night-poster.jpg
9,16,Casablanca_(film),https://upload.wikimedia.org/wikipedia/commons/b/b3/CasablancaPoster-Gold.jpg
10,17,Moonlight_(2016_film),https://upload.wikimedia.org/wikipedia/en/8/84/Moonlight_%282016_film%29.png
11,21,Snow_White_and_the_Seven_Dwarfs_(1937_film),https://upload.wikimedia.org/wikipedia/en/4/49/Snow_White_1937_poster.png
12,25,The_Battle_of_Algiers,https://upload.wikimedia.org/wikipedia/en/a/aa/The_Battle_of_Algiers_poster.jpg
13,26,Dunkirk_(2017_film),https://upload.wikimedia.org/wikipedia/en/1/15/Dunkirk_Film_poster.jpg
14,28,Repulsion_(film),https://upload.wikimedia.org/wikipedia/en/8/89/Repulsion_%281965_film_poster%29.jpg
15,29,12_Years_a_Slave_(film),https://upload.wikimedia.org/wikipedia/en/5/5c/12_Years_a_Slave_film_poster.jpg
16,30,Gravity_(2013_film),https://upload.wikimedia.org/wikipedia/en/f/f6/Gravity_Poster.jpg
17,33,Spotlight_(film),https://upload.wikimedia.org/wikipedia/en/f/f3/Spotlight_%28film%29_poster.jpg
18,38,Taxi_Driver,https://upload.wikimedia.org/wikipedia/en/3/33/Taxi_Driver_%281976_film_poster%29.jpg
19,39,Toy_Story_3,https://upload.wikimedia.org/wikipedia/en/6/69/Toy_Story_3_poster.jpg
20,41,Toy_Story_2,https://upload.wikimedia.org/wikipedia/en/c/c0/Toy_Story_2.jpg
21,42,The_Big_Sick,https://upload.wikimedia.org/wikipedia/en/6/69/The_Big_Sick.jpg
22,44,Zootopia,https://upload.wikimedia.org/wikipedia/en/9/96/Zootopia_%28movie_poster%29.jpg
23,45,M_(1931_film),https://upload.wikimedia.org/wikipedia/en/a/ab/M_poster.jpg
24,46,Wonder_Woman_(2017_film),https://upload.wikimedia.org/wikipedia/en/b/b0/Wonder_Woman_%282017_film%29_poster.jpg
25,48,Alien_(film),https://upload.wikimedia.org/wikipedia/en/c/c3/Alien_movie_poster.jpg
26,49,Bicycle_Thieves,https://upload.wikimedia.org/wikipedia/en/2/20/Ladri3.jpg
27,53,12_Angry_Men_(1957_film),https://upload.wikimedia.org/wikipedia/commons/b/b5/12_Angry_Men_%281957_film_poster%29.jpg
28,54,The_400_Blows,https://upload.wikimedia.org/wikipedia/en/f/f9/Quatre_coups2.jpg
29,55,Logan_(film),https://upload.wikimedia.org/wikipedia/en/3/37/Logan_2017_poster.jpg
30,58,Arrival_(film),https://upload.wikimedia.org/wikipedia/en/d/df/Arrival%2C_Movie_Poster.jpg
31,59,Baby_Driver,https://upload.wikimedia.org/wikipedia/en/8/8e/Baby_Driver_poster.jpg
32,62,Star_Wars:_The_Force_Awakens,https://upload.wikimedia.org/wikipedia/en/a/a2/Star_Wars_The_Force_Awakens_Theatrical_Poster.jpg
33,63,Manchester_by_the_Sea_(film),https://upload.wikimedia.org/wikipedia/en/d/de/Manchester_by_the_Sea.jpg
34,64,Dr._Strangelove,https://upload.wikimedia.org/wikipedia/en/e/e6/Dr._Strangelove_poster.jpg
35,66,Vertigo_(film),https://upload.wikimedia.org/wikipedia/commons/7/75/Vertigomovie_restoration.jpg
36,67,The_Dark_Knight_(film),https://upload.wikimedia.org/wikipedia/en/1/1c/The_Dark_Knight_%282008_film%29.jpg
37,69,The_Babadook,https://upload.wikimedia.org/wikipedia/en/d/d7/The-Babadook-Poster.jpg
38,70,The_Conformist_(film),https://upload.wikimedia.org/wikipedia/en/7/78/The_Conformist_poster.jpg
39,73,Finding_Nemo,https://upload.wikimedia.org/wikipedia/en/2/29/Finding_Nemo.jpg
40,74,Brooklyn_(film),https://upload.wikimedia.org/wikipedia/en/5/5b/Brooklyn_FilmPoster.jpg
41,75,The_Wrestler_(2008_film),https://upload.wikimedia.org/wikipedia/en/3/3e/The_Wrestler_poster.jpg
42,76,The_39_Steps_(1935_film),https://upload.wikimedia.org/wikipedia/en/f/ff/The_39_Steps_%28quad_poster%29.jpg
43,77,L.A._Confidential_(film),https://upload.wikimedia.org/wikipedia/en/d/d8/La_confidential.jpg
44,79,"The_Good,_the_Bad_and_the_Ugly",https://upload.wikimedia.org/wikipedia/en/4/45/Good_the_bad_and_the_ugly_poster.jpg
45,80,Skyfall,https://upload.wikimedia.org/wikipedia/en/a/a7/Skyfall_poster.jpg
46,83,Hell_or_High_Water_(film),https://upload.wikimedia.org/wikipedia/en/8/8f/Hell_or_High_Water_film_poster.png
47,84,Pinocchio_(1940_film),https://upload.wikimedia.org/wikipedia/en/b/ba/Pinocchio-1940-poster.jpg
48,85,The_Jungle_Book_(2016_film),https://upload.wikimedia.org/wikipedia/en/a/a4/The_Jungle_Book_%282016%29.jpg
49,86,La_La_Land_(film),https://upload.wikimedia.org/wikipedia/en/a/ab/La_La_Land_%28film%29.png
50,87,Star_Trek_(film),https://upload.wikimedia.org/wikipedia/en/2/29/Startrekposter.jpg
51,89,Apocalypse_Now,https://upload.wikimedia.org/wikipedia/en/c/c2/Apocalypse_Now_poster.jpg
52,92,The_Last_Picture_Show,https://upload.wikimedia.org/wikipedia/en/8/8f/The_Last_Picture_Show_%28movie_poster%29.jpg
53,93,Harry_Potter_and_the_Deathly_Hallows_â€“_Part_2,https://upload.wikimedia.org/wikipedia/en/d/df/Harry_Potter_and_the_Deathly_Hallows_%E2%80%93_Part_2.jpg
54,96,Man_on_Wire,https://upload.wikimedia.org/wikipedia/en/5/54/Man_on_wire_ver2.jpg
55,97,Jaws_(film),https://upload.wikimedia.org/wikipedia/en/e/eb/JAWS_Movie_poster.jpg
56,98,Toy_Story,https://upload.wikimedia.org/wikipedia/en/1/13/Toy_Story.jpg
57,99,The_Godfather_Part_II,https://upload.wikimedia.org/wikipedia/en/0/03/Godfather_part_ii.jpg
